iter	Passed	Remaining
806	1769	423
807	1771	420
808	1772	418
809	1773	416
810	1775	413
811	1776	411
812	1777	408
813	1779	406
814	1780	404
815	1783	402
816	1786	400
817	1787	397
818	1789	395
819	1791	393
820	1793	390
821	1794	388
822	1796	386
823	1800	384
824	1801	382
825	1803	379
826	1804	377
827	1806	375
828	1809	373
829	1810	370
830	1814	368
831	1816	366
832	1817	364
833	1818	362
834	1820	359
835	1821	357
836	1822	355
837	1824	352
838	1825	350
839	1826	347
840	1828	345
841	1830	343
842	1831	341
843	1832	338
844	1835	336
845	1836	334
846	1837	332
847	1839	329
848	1840	327
849	1842	325
850	1844	322
851	1845	320
852	1846	318
853	1848	315
854	1849	313
855	1850	311
856	1852	309
857	1853	306
858	1854	304
859	1858	302
860	1860	300
861	1861	298
862	1863	295
863	1864	293
864	1866	291
865	1867	288
866	1868	286
867	1870	284
868	1871	282
869	1873	279
870	1874	277
871	1876	275
872	1878	273
873	1879	271
874	1881	268
875	1882	266
876	1886	264
877	1888	262
878	1890	260
879	1891	257
880	1892	255
881	1894	253
882	1896	251
883	1897	249
884	1899	246
885	1903	244
886	1904	242
887	1905	240
888	1907	238
889	1908	235
890	1909	233
891	1911	231
892	1912	229
893	1913	226
894	1915	224
895	1917	222
896	1919	220
897	1920	218
898	1922	215
899	1924	213
900	1925	211
901	1928	209
902	1931	207
903	1932	205
904	1934	203
905	1935	200
906	1937	198
907	1938	196
908	1940	194
909	1943	192
910	1945	190
911	1946	187
912	1947	185
913	1949	183
914	1950	181
915	1951	178
916	1953	176
917	1954	174
918	1955	172
919	1956	170
920	1958	167
921	1960	165
922	1961	163
923	1962	161
924	1964	159
925	1965	157
926	1966	154
927	1968	152
928	1970	150
929	1972	148
930	1975	146
931	1976	144
932	1978	142
933	1979	139
934	1981	137
935	1983	135
936	1984	133
937	1986	131
938	1987	129
939	1990	127
940	1991	124
941	1993	122
942	1995	120
943	1996	118
944	1998	116
945	1999	114
946	2001	111
947	2002	109
948	2004	107
949	2005	105
950	2006	103
951	2008	101
952	2009	99
953	2011	96
954	2012	94
955	2013	92
956	2015	90
957	2017	88
958	2018	86
959	2020	84
960	2021	82
961	2022	79
962	2024	77
963	2025	75
964	2027	73
965	2028	71
966	2029	69
967	2031	67
968	2033	65
969	2034	62
970	2035	60
971	2037	58
972	2038	56
973	2040	54
974	2041	52
975	2043	50
976	2044	48
977	2047	46
978	2049	43
979	2050	41
980	2051	39
981	2053	37
982	2054	35
983	2055	33
984	2057	31
985	2058	29
986	2059	27
987	2060	25
988	2062	22
989	2064	20
990	2065	18
991	2066	16
992	2068	14
993	2069	12
994	2070	10
995	2072	8
996	2073	6
997	2075	4
998	2077	2
999	2078	0
